admission_date,temperature_2m_mean_C,temperature_2m_max_C,temperature_2m_min_C,apparent_temperature_mean_C,apparent_temperature_max_C,apparent_temperature_min_C,precipitation_sum_mm,wind_speed_10m_max_km_h,wind_gusts_10m_max_km_h,wind_direction_10m_dominant_degree,shortwave_radiation_sum_MJ_m_square,precipitation_hours_h,rain_sum_mm,snowfall_sum_cm
2020-01-01,15.9,21.3,11.1,11.8,17.9,7.0,0.00,20.2,29.9,89,12.15,0.0,0.00,0.00
2020-01-02,19.2,26.6,13.6,15.5,22.4,8.7,0.00,26.6,43.6,181,14.93,0.0,0.00,0.00
2020-01-03,21.0,27.6,15.4,18.4,25.4,12.0,0.00,20.0,29.2,217,14.89,0.0,0.00,0.00
2020-01-04,19.2,24.5,15.0,17.1,21.4,13.7,1.50,21.8,37.4,295,13.44,3.0,1.50,0.00
2020-01-05,13.8,17.0,8.4,10.3,14.4,4.8,0.90,20.6,33.8,10,10.26,1.0,0.90,0.00
2020-01-06,10.0,15.9,4.0,6.2,11.4,0.2,0.00,15.2,28.4,74,15.94,0.0,0.00,0.00
2020-01-07,11.9,19.0,6.3,8.0,14.4,3.0,0.00,23.0,37.1,130,13.53,0.0,0.00,0.00
2020-01-08,16.0,24.1,9.8,11.8,20.2,4.9,0.00,25.4,42.5,196,13.79,0.0,0.00,0.00
2020-01-09,13.0,19.2,7.1,9.8,16.3,3.5,0.00,11.7,23.8,20,16.22,0.0,0.00,0.00
2020-01-10,11.5,17.2,5.7,7.0,11.7,1.2,0.00,26.1,40.7,284,15.96,0.0,0.00,0.00
2020-01-11,9.8,14.1,5.2,4.3,7.0,1.1,0.00,30.1,49.0,319,13.15,0.0,0.00,0.00
2020-01-12,8.5,13.4,3.5,4.1,9.2,-1.2,0.00,19.7,34.9,324,16.14,0.0,0.00,0.00
2020-01-13,10.2,17.5,1.8,6.0,12.5,-2.2,0.00,13.2,25.9,255,16.39,0.0,0.00,0.00
2020-01-14,9.9,15.5,4.6,5.0,10.4,-0.2,0.00,24.7,41.0,345,16.16,0.0,0.00,0.00
2020-01-15,8.3,14.9,1.3,3.9,9.9,-2.7,0.00,13.3,24.8,82,16.40,0.0,0.00,0.00
2020-01-16,10.9,19.0,3.8,5.6,12.9,-1.2,0.00,22.7,38.5,156,16.39,0.0,0.00,0.00
2020-01-17,14.6,22.5,8.2,8.9,15.7,3.1,0.00,31.7,50.8,172,16.41,0.0,0.00,0.00
2020-01-18,18.3,24.9,12.9,14.5,21.6,7.2,0.00,29.1,42.8,234,12.29,0.0,0.00,0.00
2020-01-19,17.0,22.5,11.9,14.1,19.1,9.4,0.00,18.1,33.8,319,16.11,0.0,0.00,0.00
2020-01-20,13.8,19.9,7.4,10.5,16.9,4.2,0.00,14.6,20.5,92,16.60,0.0,0.00,0.00
2020-01-21,15.8,23.1,8.4,11.3,17.4,4.7,0.00,28.8,46.1,184,14.76,0.0,0.00,0.00
2020-01-22,12.3,16.6,7.6,7.8,12.0,3.4,0.00,26.8,42.5,315,16.89,0.0,0.00,0.00
2020-01-23,8.4,13.6,3.1,3.8,8.6,-0.8,0.00,20.5,32.0,348,16.93,0.0,0.00,0.00
2020-01-24,9.6,17.1,2.9,5.6,12.9,-0.9,0.00,16.5,29.2,168,17.14,0.0,0.00,0.00
2020-01-25,9.4,13.5,5.8,4.1,8.4,-0.0,0.00,24.2,39.2,312,17.15,0.0,0.00,0.00
2020-01-26,6.6,12.1,2.2,1.7,7.1,-2.7,0.00,22.1,38.2,338,17.18,0.0,0.00,0.00
2020-01-27,8.2,14.6,1.8,5.1,11.3,-1.6,0.00,9.7,15.8,342,17.54,0.0,0.00,0.00
2020-01-28,10.8,17.6,2.5,6.5,13.0,-1.3,0.00,18.9,27.0,151,17.73,0.0,0.00,0.00
2020-01-29,13.4,20.8,7.3,8.1,16.7,1.4,0.00,24.2,40.0,210,10.74,0.0,0.00,0.00
2020-01-30,12.4,18.1,6.5,8.1,14.5,2.4,0.00,19.1,29.2,358,17.23,0.0,0.00,0.00
2020-01-31,14.1,22.5,5.8,9.3,17.3,1.7,0.00,25.7,37.8,138,15.99,0.0,0.00,0.00
